CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,1524466317578.0,1524233019268.0,1523944106922.0,1524164421266.0,1523825003576.0,1524172356160.0,1523867824460.0,1524038523072.0,1524327670262.0,1524482504066.0,1524512762408.0,1524342831543.0,1523919286189.0,1524226142607.0,1524319203287.0,1524325558310.0,1524992997236.0,1524532710971.0,1524350872563.0,1524722824075.0,1524114082953.0,1524283571485.0,1523992267167.0,1523985554961.0,1523925824743.0,1524201236404.0,1523824934820.0,1524291843967.0,1524760718267.0,1523886192591.0,1524527870917.0,1524108875896.0,1524030655991.0,1524174765207.0,1524148162837.0,1524110159429.0,1524128687994.0,1524361508934.0,1524960147374.0,1523949442117.0,1524449080552.0,1524474282743.0,1524177514993.0,1524480887405.0,1524709613953.0,1524160325440.0,1524584572955.0,1524400679883.0,1524219366180.0,1524332930346.0,1524036005122.0,1523813765165.0,1524092593751.0,1523952046219.0,1524221540326.0,1524665958766.0,1524359305688.0,1524381405825.0,1523741568985.0,1523952800626.0,1525377926523.0,1524970531482.0,1524191574736.0,1524730979429.0,1524609012170.0,1524503325278.0,1524278971426.0,1524384156168.0,1523880901293.0,1524150763301.0,1524245646227.0,1524121972162.0,1524397837624.0,1524670751233.0,1524477378984.0,1524656063095.0,1524110159040.0,1524495981684.0,1524527482363.0,1518979976304.0,1517324869617.0,1518618758829.0,1517444786349.0,1517901141343.0,1518415759102.0,1517822079061.0,1518741994556.0,1517643846463.0,1517238586732.0,1517302177291.0,1518160018899.0,1517857407310.0,1517568738711.0,1518019641401.0,1518179665947.0,1517427027137.0,1517489885354.0,1517155992218.0,1517955980097.0,1518374114333.0,1517655171916.0,1517793940535.0,1517970824452.0,1518543494658.0,1517567673676.0,1517466798379.0,1517517726523.0,1517213728964.0,1517660243893.0,1518080725101.0,1518017568740.0,1517139034105.0,1517238375605.0,1517474660524.0,1518266348236.0,1517272643719.0,1517959052827.0,1518464783238.0,1517491259968.0,1517122926199.0,1517719387955.0,1518595917315.0,1518648486361.0,1517832995353.0,1518660315908.0,1518754848144.0,1517674703287.0,1518580207781.0,1517016768510.0,1518255676069.0,1517316650689.0,1517753048582.0,1518357381504.0,1519873844168.0,1518006192665.0,1517244630289.0,1518135264263.0
clock speed,2.897,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.977,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898
instructions,1717348031099.0,1717349031095.0,1717343571110.0,1717338928466.0,1717358426785.0,1717372755115.0,1717348623751.0,1717342722282.0,1717323480715.0,1717325666596.0,1717326672548.0,1717320425252.0,1717320278363.0,1717324305735.0,1717332336235.0,1717326945315.0,1717342489663.0,1717341324465.0,1717325340873.0,1717338158735.0,1717324543684.0,1717328175806.0,1717363856078.0,1717326271793.0,1717329685716.0,1717328993622.0,1717344009815.0,1717346602436.0,1717369499833.0,1717357653087.0,1717364561805.0,1717338163538.0,1717329877222.0,1717314966348.0,1717324120030.0,1717324889476.0,1717334074716.0,1717332723358.0,1717369919912.0,1717334016768.0,1717330811876.0,1717352288285.0,1717316131522.0,1717317401079.0,1717310969118.0,1717320167154.0,1717331042716.0,1717326789764.0,1717328179843.0,1717320206584.0,1717320023481.0,1717322651682.0,1717317825981.0,1717315601146.0,1717321162941.0,1717322498556.0,1717337342705.0,1717323837644.0,1717324838204.0,1717321456753.0,1717342790576.0,1717330210539.0,1717323938133.0,1717381129882.0,1717379197174.0,1717321648203.0,1717334015483.0,1717313811462.0,1717332871453.0,1717317306923.0,1717345902968.0,1717380095178.0,1717408756356.0,1717353495077.0,1717319426983.0,1717357538484.0,1717321941974.0,1717319118278.0,1717337078954.0,1717343248487.0,1717376140742.0,1717410069904.0,1717384345432.0,1717378847978.0,1717431172008.0,1717379449507.0,1717372976388.0,1717361930387.0,1717373850967.0,1717338313696.0,1717445748266.0,1717391330542.0,1717382202493.0,1717376513583.0,1717386597862.0,1717334351314.0,1717382911541.0,1717336125385.0,1717381314537.0,1717391397832.0,1717384104530.0,1717387374416.0,1717334718786.0,1717453315864.0,1717380534628.0,1717378668153.0,1717382836231.0,1717385478761.0,1717373760562.0,1717393245703.0,1717385715177.0,1717378075859.0,1717382943881.0,1717373256680.0,1717375675470.0,1717377881639.0,1717382160975.0,1717391935771.0,1717381755561.0,1717370424683.0,1717384807820.0,1717469119141.0,1717465818147.0,1717384995760.0,1717384197257.0,1717386735167.0,1717380914436.0,1717466987255.0,1717320557737.0,1717385234953.0,1717383940595.0,1717367424694.0,1717387956595.0,1717478646355.0,1717316093308.0,1717373618079.0,1717385959640.0
instructions per cycle,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13
"time (s)
",525.898299368,525.646234301,525.546829827,525.623724035,525.562865345,525.702867528,525.517656993,525.614565136,525.676675551,525.730081618,525.740665079,525.681601626,525.537582922,525.640809195,525.684928546,525.67734485,525.985677217,525.812362143,525.685399577,525.834804728,525.602246047,525.674555637,525.645299907,525.560895534,525.538654331,525.643068561,525.509534422,525.666133776,525.886589799,525.550323953,525.80825865,525.600607429,525.573876502,525.622745089,525.623005717,525.600219874,525.607974591,525.686763336,526.024785122,525.545376087,525.717085831,525.825449937,525.626540177,525.728611177,525.807851117,525.617601487,525.819989365,525.724559693,525.6728855,525.678924113,525.576344541,525.498224875,525.595638452,525.548342144,525.639488574,525.793080461,525.724091526,525.712452535,525.472716181,525.546536915,526.065130559,525.899783115,525.62943647,525.97317895,525.83983386,525.739725444,525.681728569,525.694393855,525.52240916,525.612980728,525.649289727,525.604326425,525.783408735,525.822431714,525.728422049,525.916366109,525.602378593,525.733203977,525.745652382,509.886943383,523.254491344,523.699962845,523.295396218,523.453363447,523.630728716,523.425123725,523.742701674,523.362572346,523.225405095,523.245533588,523.542898714,523.437542608,523.33862992,523.495869125,523.549284,523.289564147,523.312146383,523.196496811,523.471808447,523.617405388,523.367099697,523.415575474,523.477562993,523.675179615,523.338210164,523.301874417,523.319415912,523.216309033,523.370311599,523.514790955,523.495139067,523.191039914,523.225291881,523.305201751,523.578541737,523.235904603,523.471823869,523.648613405,523.311313821,523.184350865,523.390197274,523.691864832,523.710753567,523.429545197,523.71321947,523.747980295,523.374772387,523.687124684,523.148252921,523.574075142,523.251283901,523.400409248,523.610601754,524.134052972,523.489650875,523.225282215,523.533827658
estimated number of instructions,1722646938863.14,1722383311772.8398,1722056840821.8599,1722305796030.5798,1721922254040.88,1722314762460.7998,1721970641639.7998,1722163531071.3599,1722490267396.0598,1722665229594.5798,1722699421521.0398,1722507399643.5898,1722028793393.5698,1722375541145.91,1722480699714.3098,1722487880890.2998,1723242086876.68,1722721963397.2297,1722516485996.19,1722936791204.7498,1722248913736.89,1722440435778.0498,1722111261898.7097,1722103677105.93,1722036181959.5898,1722347397136.5198,1721922176346.5999,1722449783682.7097,1722979611641.7097,1721991397627.8298,1722716494136.2097,1722243029762.4797,1722154641269.8298,1722317484683.91,1722287424005.8098,1722244480154.7698,1722265417433.2197,1722528505095.42,1723204966532.6199,1722062869592.2097,1722627461023.7598,1722655939499.5898,1722320591942.0898,1722663402767.65,1722921863766.89,1722301167747.2,1722780567439.15,1722572768267.7898,1722367883783.4,1722496211290.9797,1722160685787.8599,1721909554636.45,1722224630938.63,1722065812227.4697,1722370340568.38,1722872533405.5798,1722526015427.44,1722550988582.2498,1721827972953.0498,1722066664707.38,1723677056970.9897,1723216700574.66,1722336479451.68,1722946006754.7698,1722808183752.0999,1722688757564.14,1722435237711.38,1722554096469.8398,1721985418461.0898,1722290362530.13,1722397580236.5098,1722257828543.0598,1722569556515.1199,1722877948893.2898,1722659438251.92,1722861351297.3499,1722244479715.2,1722680459302.92,1722716055070.19,1716447373223.5198,1714577102667.2097,1716039197476.7698,1714712608574.3699,1715228289717.5898,1715809807785.2598,1715138949338.93,1716178453848.2798,1714937546503.19,1714479603007.16,1714551460338.8298,1715520821355.8699,1715178870260.2998,1714852674743.43,1715362194783.13,1715543022520.1099,1714692540664.8098,1714763570450.0198,1714386271206.3398,1715290257509.6099,1715762749196.2898,1714950344265.0798,1715107152804.5498,1715307031630.7598,1715954148963.5398,1714851471253.88,1714737482168.2698,1714795030970.9897,1714451513729.3198,1714956075599.0898,1715431219364.13,1715359852676.2,1714367108538.65,1714479364433.65,1714746366392.1199,1715640973506.68,1714518087402.4697,1715293729694.5098,1715865205058.94,1714765123763.8398,1714348906604.8699,1715022908389.15,1716013386565.95,1716072789587.93,1715151284748.89,1716086156976.0398,1716192978402.7197,1714972414714.3098,1715995634792.5298,1714228948416.2998,1715628913957.9697,1714567815278.5698,1715060944897.66,1715743841099.5198,1717457443909.8398,1715346997711.45,1714486432226.5698,1715492848617.19
instruction calculation error,0.0030855177099710584,0.002931425462551391,0.002744511809488101,0.0028921883049704412,0.0026574692764769242,0.002877655611503441,0.002691368441373588,0.0028071326281069783,0.003008627517809659,0.003109231465202321,0.0031285538499604385,0.003020388225353289,0.0027417803713691187,0.0029413404294350953,0.0029978842013752846,0.003005214347436424,0.003435306148418671,0.003133121445095346,0.0030228082004258028,0.0032600640946997515,0.0028674661822081383,0.002976868395960748,0.0027643564314620683,0.0027818856506178122,0.0027405898137884814,0.0029222143998952205,0.0026658412673492447,0.002971549971025663,0.0032666888571476634,0.0026981826019178614,0.0031163635550885485,0.0028560864299288047,0.0028094567688035014,0.0029129882601257153,0.0028901381619930375,0.0028646825705011874,0.0028715104357521326,0.0030254950987367835,0.003397664389579426,0.0027536010921797006,0.0030842334576025826,0.003088272133078898,0.0029141171670323492,0.003112995702070555,0.0032672560472676725,0.002900449600760603,0.0031732523244507064,0.003054735147124044,0.002934619020145956,0.0030140009342087483,0.00281873048742998,0.0026709616564816133,0.002857249184394229,0.002766067622223785,0.0029401475602460455,0.0032317953408556323,0.003021347404154851,0.0030437770813342316,0.002622179944569625,0.002763144858943191,0.003688411206981701,0.003427698412067405,0.002918809437973216,0.0032403272494045243,0.003161204343824251,0.0031252790452831122,0.0029704310183043597,0.0030514428829863274,0.0027091701821053593,0.0028958280377668504,0.0029415607302985458,0.0028402177122905663,0.0030049923409439607,0.0032168413970253096,0.00310950379120866,0.00320481477503418,0.0028664035676046105,0.003121924730154915,0.003132160938064752,-0.0005216634847282286,-0.0016298340290094786,-0.0007982207926071225,-0.0015557011828695015,-0.0012522328797412237,-0.0009440635812173799,-0.0013046040400176199,-0.0006955521928804012,-0.0014116907105677684,-0.0016852754327256272,-0.0016227748108480677,-0.0011208079859719633,-0.0012882679924801728,-0.00147289738178149,-0.0011729045925215316,-0.0010734771915567706,-0.0015383205065273588,-0.0015251934052551517,-0.0017176917989766534,-0.001217584592128789,-0.0009483270020836124,-0.0014171321712484453,-0.001327727014544746,-0.0011807174996576238,-0.0008729011068961828,-0.0014726284146850046,-0.0015379170789228199,-0.0015068307458396982,-0.0017083904970460514,-0.0014077803087657423,-0.0011424444248742686,-0.0011796199787251964,-0.0017532349822528559,-0.0016907000606332394,-0.0015295977608026758,-0.0010100888163827792,-0.001665209658925498,-0.0012160550679672722,-0.0008889821130868728,-0.001523616859610464,-0.0017593863471171936,-0.0013752884153250583,-0.0008476033477551783,-0.0008110953617539987,-0.00130064663230717,-0.0007558240509219955,-0.0006951007247439766,-0.0014024260438932116,-0.0008566991234118881,-0.0018002517391244445,-0.0010226715353578424,-0.0016397762025505544,-0.0013430322266366824,-0.0009573349394739847,-1.2345099722290079e-05,-0.0011466122073991957,-0.0016811635057371447,-0.001102321241293305
predicted cycles,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0,1715750072310.0
cycles prediction error,0.11148695711518469,0.1116229316453713,0.11179132000837515,0.11166291299411614,0.1118607376630337,0.11165828825644131,0.11183578013297668,0.11173629092720315,0.11156776568878617,0.11147752305584165,0.11145988742085708,0.11155892915644694,0.11180578641196187,0.11162693960731808,0.11157270054214077,0.11156899660932296,0.11117998952911261,0.1114482606907628,0.111554242564775,0.11133745603041734,0.11169225194843845,0.1115934680202106,0.11176325050933957,0.11176716262107911,0.11180197551076738,0.11164145582585244,0.11186077773646928,0.11158864652427508,0.11131536995120828,0.1118250745347101,0.11145108164591129,0.11169528680595298,0.11174087614105624,0.11165688417840053,0.11167238898322573,0.1116945387173935,0.11168373961250111,0.11154804331048288,0.11119913559387469,0.11178821046748914,0.11149700346533684,0.11148231473449735,0.1116552815055845,0.1114784653032156,0.11134515535808354,0.11166530018678837,0.1114180336869369,0.11152521309200748,0.11163088914933435,0.11156469992525517,0.11173775847777513,0.11186728780759225,0.11170477661758858,0.11178669270447573,0.11162962197992833,0.11137059914952177,0.11154932744040107,0.111536446696663,0.1119093663021033,0.11178625300931723,0.11095563908716173,0.11119308336740676,0.11164708698866335,0.11133270280083478,0.11140378964557306,0.1114653877149572,0.11159614909776043,0.1115348436992076,0.11182815849086747,0.11167087334056777,0.11161557220578637,0.11168765383760207,0.11152686966136795,0.1113678059297648,0.11148051013541851,0.11137636669758119,0.1116945389441165,0.11146966782201854,0.11145130810896454,0.11468459141084493,0.11564924629485823,0.11489512176770143,0.11557935456998798,0.11531337469251923,0.11501343720902134,0.11535945499481731,0.11482329561482005,0.11546333527486302,0.11569953502070035,0.11566247218735051,0.11516249167046494,0.11533886443820295,0.11550711073680946,0.11524430865550578,0.11515104067400743,0.11558970526866293,0.11555306927020695,0.11574767403309671,0.11528141272155096,0.11503770925753941,0.11545673439913946,0.11537585512584696,0.11527276090492593,0.11493898839618928,0.11550773147698437,0.11556652517813468,0.11553684244938418,0.11571402300959871,0.11545377827104024,0.11520870690849973,0.11524551667585411,0.11575755782285939,0.11569965807300465,0.11556194284115746,0.1151005191613472,0.1156796854006714,0.11527962182551686,0.11498486420366864,0.11555226809641002,0.11576694608182551,0.11541930701385977,0.11490843461225184,0.11487779550761276,0.11535309259263755,0.11487090082802574,0.11481580408781536,0.11544535082334063,0.11491759068588607,0.11582881854840048,0.11510673927881783,0.11565403657762298,0.11539968840649777,0.11504746174379603,0.11416361351410702,0.11525214705587483,0.11569601262131507,0.11517691955037561
